iter,block,attn_grad_angle_cos,grad_dim,ckpt_A,ckpt_B
250,0,0.03179483115673065,589824,250_ckpt.pt,250_ckpt.pt
250,1,0.02016364224255085,589824,250_ckpt.pt,250_ckpt.pt
250,2,0.07182496041059494,589824,250_ckpt.pt,250_ckpt.pt
250,3,0.02951553650200367,589824,250_ckpt.pt,250_ckpt.pt
250,4,0.061762649565935135,589824,250_ckpt.pt,250_ckpt.pt
250,5,0.08532614260911942,589824,250_ckpt.pt,250_ckpt.pt
500,0,0.04467860609292984,589824,500_ckpt.pt,500_ckpt.pt
500,1,0.004892007447779179,589824,500_ckpt.pt,500_ckpt.pt
500,2,0.009234028868377209,589824,500_ckpt.pt,500_ckpt.pt
500,3,-0.004082437604665756,589824,500_ckpt.pt,500_ckpt.pt
500,4,0.027598170563578606,589824,500_ckpt.pt,500_ckpt.pt
500,5,0.08454910665750504,589824,500_ckpt.pt,500_ckpt.pt
750,0,0.05065025016665459,589824,750_ckpt.pt,750_ckpt.pt
750,1,0.0004187139857094735,589824,750_ckpt.pt,750_ckpt.pt
750,2,0.0044095274060964584,589824,750_ckpt.pt,750_ckpt.pt
750,3,-0.007774888072162867,589824,750_ckpt.pt,750_ckpt.pt
750,4,-0.001638541929423809,589824,750_ckpt.pt,750_ckpt.pt
750,5,0.026486733928322792,589824,750_ckpt.pt,750_ckpt.pt
1000,0,0.058561332523822784,589824,1000_ckpt.pt,1000_ckpt.pt
1000,1,0.0019136994378641248,589824,1000_ckpt.pt,1000_ckpt.pt
1000,2,-0.0005725336377508938,589824,1000_ckpt.pt,1000_ckpt.pt
1000,3,-0.02179095335304737,589824,1000_ckpt.pt,1000_ckpt.pt
1000,4,0.0032455832697451115,589824,1000_ckpt.pt,1000_ckpt.pt
1000,5,0.0030852246563881636,589824,1000_ckpt.pt,1000_ckpt.pt
1250,0,0.04569213464856148,589824,1250_ckpt.pt,1250_ckpt.pt
1250,1,0.002518327906727791,589824,1250_ckpt.pt,1250_ckpt.pt
1250,2,-0.0009873372036963701,589824,1250_ckpt.pt,1250_ckpt.pt
1250,3,-0.007650177460163832,589824,1250_ckpt.pt,1250_ckpt.pt
1250,4,0.010260947979986668,589824,1250_ckpt.pt,1250_ckpt.pt
1250,5,-0.00221580034121871,589824,1250_ckpt.pt,1250_ckpt.pt
1500,0,0.04757368564605713,589824,1500_ckpt.pt,1500_ckpt.pt
1500,1,-0.002301648957654834,589824,1500_ckpt.pt,1500_ckpt.pt
1500,2,0.0024343302939087152,589824,1500_ckpt.pt,1500_ckpt.pt
1500,3,-0.003356372471898794,589824,1500_ckpt.pt,1500_ckpt.pt
1500,4,0.012483147904276848,589824,1500_ckpt.pt,1500_ckpt.pt
1500,5,-0.010812564752995968,589824,1500_ckpt.pt,1500_ckpt.pt
1750,0,0.03301678225398064,589824,1750_ckpt.pt,1750_ckpt.pt
1750,1,-0.01086726039648056,589824,1750_ckpt.pt,1750_ckpt.pt
1750,2,0.00020242392201907933,589824,1750_ckpt.pt,1750_ckpt.pt
1750,3,-0.004981773905456066,589824,1750_ckpt.pt,1750_ckpt.pt
1750,4,0.011530240066349506,589824,1750_ckpt.pt,1750_ckpt.pt
1750,5,0.005222301464527845,589824,1750_ckpt.pt,1750_ckpt.pt
2000,0,0.02310796082019806,589824,2000_ckpt.pt,2000_ckpt.pt
2000,1,-0.003460163250565529,589824,2000_ckpt.pt,2000_ckpt.pt
2000,2,0.0007452202844433486,589824,2000_ckpt.pt,2000_ckpt.pt
2000,3,-0.0011196945561096072,589824,2000_ckpt.pt,2000_ckpt.pt
2000,4,0.010134677402675152,589824,2000_ckpt.pt,2000_ckpt.pt
2000,5,0.00749213108792901,589824,2000_ckpt.pt,2000_ckpt.pt
2250,0,0.023911520838737488,589824,2250_ckpt.pt,2250_ckpt.pt
2250,1,-0.00419989600777626,589824,2250_ckpt.pt,2250_ckpt.pt
2250,2,0.0009996640728786588,589824,2250_ckpt.pt,2250_ckpt.pt
2250,3,-0.00223330850712955,589824,2250_ckpt.pt,2250_ckpt.pt
2250,4,0.003625008277595043,589824,2250_ckpt.pt,2250_ckpt.pt
2250,5,0.0025687022134661674,589824,2250_ckpt.pt,2250_ckpt.pt
2500,0,0.013663191348314285,589824,2500_ckpt.pt,2500_ckpt.pt
2500,1,-0.004420595243573189,589824,2500_ckpt.pt,2500_ckpt.pt
2500,2,-0.0009778637904673815,589824,2500_ckpt.pt,2500_ckpt.pt
2500,3,-0.001351888757199049,589824,2500_ckpt.pt,2500_ckpt.pt
2500,4,0.012869726866483688,589824,2500_ckpt.pt,2500_ckpt.pt
2500,5,-0.011232980526983738,589824,2500_ckpt.pt,2500_ckpt.pt
2750,0,0.030166570097208023,589824,2750_ckpt.pt,2750_ckpt.pt
2750,1,-0.004538719542324543,589824,2750_ckpt.pt,2750_ckpt.pt
2750,2,-0.0012956043938174844,589824,2750_ckpt.pt,2750_ckpt.pt
2750,3,-0.0007375461864285171,589824,2750_ckpt.pt,2750_ckpt.pt
2750,4,0.010643910616636276,589824,2750_ckpt.pt,2750_ckpt.pt
2750,5,-0.003909708932042122,589824,2750_ckpt.pt,2750_ckpt.pt
3000,0,0.029987147077918053,589824,3000_ckpt.pt,3000_ckpt.pt
3000,1,-0.009471481665968895,589824,3000_ckpt.pt,3000_ckpt.pt
3000,2,0.0016699375119060278,589824,3000_ckpt.pt,3000_ckpt.pt
3000,3,-0.001124143716879189,589824,3000_ckpt.pt,3000_ckpt.pt
3000,4,0.01117409486323595,589824,3000_ckpt.pt,3000_ckpt.pt
3000,5,-0.004055066499859095,589824,3000_ckpt.pt,3000_ckpt.pt
3250,0,0.021655157208442688,589824,3250_ckpt.pt,3250_ckpt.pt
3250,1,-0.006666341330856085,589824,3250_ckpt.pt,3250_ckpt.pt
3250,2,-0.0011355082970112562,589824,3250_ckpt.pt,3250_ckpt.pt
3250,3,-0.0002108666521962732,589824,3250_ckpt.pt,3250_ckpt.pt
3250,4,0.01425652951002121,589824,3250_ckpt.pt,3250_ckpt.pt
3250,5,-0.002816462889313698,589824,3250_ckpt.pt,3250_ckpt.pt
3500,0,0.013471377082169056,589824,3500_ckpt.pt,3500_ckpt.pt
3500,1,-0.010692671872675419,589824,3500_ckpt.pt,3500_ckpt.pt
3500,2,-1.906822762975935e-05,589824,3500_ckpt.pt,3500_ckpt.pt
3500,3,-0.0016837160801514983,589824,3500_ckpt.pt,3500_ckpt.pt
3500,4,0.015797264873981476,589824,3500_ckpt.pt,3500_ckpt.pt
3500,5,-0.0013860482722520828,589824,3500_ckpt.pt,3500_ckpt.pt
3750,0,0.028287576511502266,589824,3750_ckpt.pt,3750_ckpt.pt
3750,1,-0.014546495862305164,589824,3750_ckpt.pt,3750_ckpt.pt
3750,2,0.0013716062530875206,589824,3750_ckpt.pt,3750_ckpt.pt
3750,3,-0.00111898232717067,589824,3750_ckpt.pt,3750_ckpt.pt
3750,4,0.013873321004211903,589824,3750_ckpt.pt,3750_ckpt.pt
3750,5,-0.018760403618216515,589824,3750_ckpt.pt,3750_ckpt.pt
4000,0,0.014665230177342892,589824,4000_ckpt.pt,4000_ckpt.pt
4000,1,-0.006263533141463995,589824,4000_ckpt.pt,4000_ckpt.pt
4000,2,-0.0002978257543873042,589824,4000_ckpt.pt,4000_ckpt.pt
4000,3,-0.001969167497009039,589824,4000_ckpt.pt,4000_ckpt.pt
4000,4,0.019639872014522552,589824,4000_ckpt.pt,4000_ckpt.pt
4000,5,-0.0031383722089231014,589824,4000_ckpt.pt,4000_ckpt.pt
4250,0,0.017072830349206924,589824,4250_ckpt.pt,4250_ckpt.pt
4250,1,-0.006308360956609249,589824,4250_ckpt.pt,4250_ckpt.pt
4250,2,-0.0015520502347499132,589824,4250_ckpt.pt,4250_ckpt.pt
4250,3,-0.0018561258912086487,589824,4250_ckpt.pt,4250_ckpt.pt
4250,4,0.012922723777592182,589824,4250_ckpt.pt,4250_ckpt.pt
4250,5,-0.01454555056989193,589824,4250_ckpt.pt,4250_ckpt.pt
