,iter_num,train_loss,val_loss,learning_rate,model_flops_utilization,batch_size,optimizer_name,seed
0,5000,1.759381890296936,1.8973629474639893,0.0001,1.3304511031308397,8,AdaGram,2.0
1,4500,1.7794266939163208,1.9121173620224,0.0003521740522971,1.2418220366631336,8,AdaGram,3.0
2,4500,1.7643605470657349,1.8949929475784304,0.0003521740522971,1.3403629864036306,8,AdaGram,4.0
3,4750,1.760931372642517,1.905768156051636,0.0001634501720984,1.306249422657875,8,AdaGram,5.0
4,5000,1.3177437782287598,1.540985107421875,0.0001,5.541550260514064,8,AdamW,2.0
5,5000,1.2949084043502808,1.5282394886016846,0.0001,4.412313427049874,8,AdamW,3.0
6,4500,1.3424469232559204,1.5545737743377686,0.0001229249138451,5.13754215780345,8,AdamW,4.0
7,5000,1.3355923891067505,1.5661016702651978,0.0001,2.5538815586117822,8,AdamW,5.0
8,5000,1.252214789390564,1.4965101480484009,0.0001,1.2205356612408167,8,MuonWithAdamW,2.0
9,5000,1.2377519607543943,1.491059422492981,0.0001,1.1905123585526114,8,MuonWithAdamW,3.0
10,4500,1.265635967254639,1.504064440727234,0.0003521740522971,1.217717418960006,8,MuonWithAdamW,4.0
11,5000,1.253939867019653,1.5055729150772097,0.0001,1.1878470243142338,8,MuonWithAdamW,5.0
12,5000,1.5782191753387451,1.7657028436660769,0.0001,2.4369065669238013,16,AdaGram,2.0
13,5000,1.5830496549606323,1.7706902027130127,0.0001,2.439492644906255,16,AdaGram,3.0
14,4750,1.5795161724090576,1.7663476467132568,0.0001634501720984,2.5298879405083663,16,AdaGram,4.0
15,4750,1.584686279296875,1.770910143852234,0.0001634501720984,2.4352294639720777,16,AdaGram,5.0
16,5000,1.1230518817901611,1.4433425664901731,0.0001,9.996518389132204,16,AdamW,2.0
17,4500,1.1366969347000122,1.4460198879241943,0.0001229249138451,9.143845818141225,16,AdamW,3.0
18,4750,1.1423563957214355,1.452073097229004,0.0001057681974634,10.02681174966238,16,AdamW,4.0
19,4500,1.1446475982666016,1.451291561126709,0.0001229249138451,5.284075904736246,16,AdamW,5.0
20,5000,1.0615715980529783,1.4307920932769775,0.0001,2.2360440977037457,16,MuonWithAdamW,2.0
21,4500,1.0824838876724243,1.424568772315979,0.0003521740522971,2.233340509193676,16,MuonWithAdamW,3.0
22,4750,1.0787382125854492,1.4346389770507812,0.0001634501720984,2.239464440587708,16,MuonWithAdamW,4.0
23,4500,1.0735015869140625,1.43556547164917,0.0003521740522971,2.215165279213542,16,MuonWithAdamW,5.0
24,5000,1.4429529905319214,1.6534981727600098,0.0001,4.465569783402387,32,AdaGram,2.0
25,4750,1.439201831817627,1.6494632959365845,0.0001634501720984,4.311612801910212,32,AdaGram,3.0
26,5000,1.443515658378601,1.6514736413955688,0.0001,4.273335022689381,32,AdaGram,4.0
27,4750,1.4435663223266602,1.6511799097061155,0.0001634501720984,4.685618691472151,32,AdaGram,5.0
28,3000,1.0822619199752808,1.4496395587921145,0.000421962586016,14.828115288874514,32,AdamW,2.0
29,2750,1.1170074939727783,1.4544076919555664,0.0004924552772419,15.017117481344831,32,AdamW,3.0
30,3000,1.0820205211639404,1.451246976852417,0.000421962586016,15.96784717226866,32,AdamW,4.0
31,4000,0.9803867340087892,1.4688612222671509,0.0001893638701594,13.359184315679364,32,AdamW,5.0
32,3000,1.0520453453063965,1.4469594955444336,0.0036415884461763,3.868900616622821,32,MuonWithAdamW,2.0
33,2750,1.088320016860962,1.4502443075180054,0.0044170080496616,3.867590014642929,32,MuonWithAdamW,3.0
34,3000,1.0527530908584597,1.4507633447647097,0.0036415884461763,3.794864784584488,32,MuonWithAdamW,4.0
35,2750,1.091330885887146,1.4554318189620972,0.0044170080496616,3.8773696928086343,32,MuonWithAdamW,5.0
36,4750,1.3296948671340942,1.5630775690078735,0.0001634501720984,6.283194362807166,64,AdaGram,2.0
37,4500,1.3343724012374878,1.570986032485962,0.0003521740522971,6.887234522613012,64,AdaGram,3.0
38,4500,1.330328345298767,1.5607470273971558,0.0003521740522971,6.953906849725828,64,AdaGram,4.0
39,5000,1.3316155672073364,1.569117307662964,0.0001,7.030341567527909,64,AdaGram,5.0
40,1500,1.1490638256072998,1.4703384637832642,0.0008305704108364,13.11471676207078,64,AdamW,2.0
41,1750,1.095078706741333,1.4706716537475586,0.0007708228984017,13.12373211521212,64,AdamW,3.0
42,2000,1.0563840866088867,1.4595990180969238,0.0007054142744895,13.125106217799589,64,AdamW,4.0
43,2000,1.0506887435913086,1.4656767845153809,0.0007054142744895,13.1663820991778,64,AdamW,5.0
44,1500,1.0972288846969604,1.450953483581543,0.0081362745192007,6.139407466751576,64,MuonWithAdamW,2.0
45,1750,1.0539288520812988,1.457162618637085,0.0074790518824194,6.206914074717784,64,MuonWithAdamW,3.0
46,1500,1.0958003997802734,1.4591506719589231,0.0081362745192007,6.276941426502597,64,MuonWithAdamW,4.0
47,2000,1.006038784980774,1.458162784576416,0.0067595570193854,6.174847441382625,64,MuonWithAdamW,5.0
48,5000,1.2318061590194702,1.5161385536193848,0.0001,9.386126707313217,128,AdaGram,2.0
49,4750,1.2355467081069946,1.519675850868225,0.0001634501720984,9.4208259394663,128,AdaGram,3.0
50,5000,1.2331770658493042,1.5129008293151855,0.0001,8.894119932128449,128,AdaGram,4.0
51,5000,1.233859658241272,1.5134363174438477,0.0001,9.624921093929249,128,AdaGram,5.0
52,1000,1.1387962102890017,1.4731520414352417,0.0009271396472013,16.765731318727134,128,AdamW,2.0
53,1250,1.0579754114151,1.4764885902404783,0.0008831250986838,14.06532767911441,128,AdamW,3.0
54,2250,1.123779058456421,1.468316912651062,0.0059962352120717,14.436578487070728,128,AdamW,4.0
55,2000,1.1229891777038574,1.4534540176391602,0.0067595570193854,14.916971154498244,128,AdamW,5.0
56,750,1.1261574029922483,1.468543291091919,0.0095763424839282,8.683148455462709,128,MuonWithAdamW,2.0
57,750,1.1325485706329346,1.4724383354187012,0.0095763424839282,8.708057826727565,128,MuonWithAdamW,3.0
58,1000,1.0334460735321045,1.466892957687378,0.0091985361192146,8.639794140487938,128,MuonWithAdamW,4.0
59,1000,1.039764404296875,1.4653401374816897,0.0091985361192146,8.646960572821035,128,MuonWithAdamW,5.0
60,5000,1.1347485780715942,1.4920345544815063,0.0001,11.634605080921192,256,AdaGram,2.0
61,5000,1.1425223350524902,1.4948344230651855,0.0001,11.42597702328286,256,AdaGram,3.0
62,4250,1.1437079906463623,1.4916218519210815,0.0006613334334536,11.244451071651032,256,AdaGram,4.0
63,4500,1.1423221826553345,1.495649814605713,0.0003521740522971,11.442812862227292,256,AdaGram,5.0
64,750,1.1316657066345217,1.4710071086883545,0.0009614856803571,14.283263727096683,256,AdamW,2.0
65,750,1.1275849342346191,1.4639859199523926,0.0009614856803571,14.294825265925407,256,AdamW,3.0
66,750,1.1354045867919922,1.465992450714111,0.0009614856803571,14.2761771270178,256,AdamW,4.0
67,1250,1.0896978378295898,1.4583745002746582,0.0087143760855228,14.387189912886022,256,AdamW,5.0
68,500,1.13349187374115,1.4816081523895264,0.0098381095720431,10.738755895834409,256,MuonWithAdamW,2.0
69,500,1.1347649097442627,1.4806535243988037,0.0098381095720431,10.79043735912846,256,MuonWithAdamW,3.0
70,500,1.1331608295440674,1.483474612236023,0.0098381095720431,10.826826654694315,256,MuonWithAdamW,4.0
71,500,1.1311668157577517,1.4744219779968262,0.0098381095720431,7.443240249307445,256,MuonWithAdamW,5.0
72,2750,1.118290662765503,1.4995535612106323,0.0044170080496616,13.260995844281492,512,AdaGram,2.0
73,2750,1.1242358684539795,1.4960116147994995,0.0044170080496616,13.266793546078668,512,AdaGram,3.0
