layer_name,num_params,diag_sum,diag_off_diag_ratio,min_eigenvalue,max_eigenvalue,spectral_gap,is_bad_layer,iter_num,checkpoint
transformer.h.0.attn.c_proj.weight,147456,1.5843399978621164e-06,-0.9999999982005292,-551.73804,149.04164,0.27013117,False,500,500_ckpt.pt
transformer.h.0.ln_1.weight,384,-3.036332130432129,6.100900365341726,-0.087420724,0.05143087,0.5883144,False,500,500_ckpt.pt
transformer.h.0.ln_2.weight,384,-1.9938157796859741,1.1705685658584601,-0.17897944,0.04598775,0.25694433,False,500,500_ckpt.pt
transformer.h.0.mlp.c_fc.weight,589824,-0.17174005508422852,-0.9993978515617374,-33.720253,14.993443,0.44464207,False,500,500_ckpt.pt
transformer.h.0.mlp.c_proj.weight,589824,0.03545964136719704,-1.0000129978934253,-88.39216,39.578365,0.4477588,False,500,500_ckpt.pt
transformer.h.1.attn.c_attn.weight,442368,0.01928800716996193,-1.0003941431810914,-12.367242,3.6305118,0.29355872,False,500,500_ckpt.pt
transformer.h.1.attn.c_proj.weight,147456,2.0957936612830963e-06,-1.0000000062446215,-9.954441,4.861597,0.48838472,False,500,500_ckpt.pt
transformer.h.1.ln_1.weight,384,-0.46329358220100403,6.777670155375019,-0.018805359,0.0048494567,0.25787634,False,500,500_ckpt.pt
transformer.h.1.ln_2.weight,384,-0.4199589788913727,-0.2575002779153888,-0.056323644,0.014401532,0.25569248,False,500,500_ckpt.pt
transformer.h.1.mlp.c_fc.weight,589824,-0.14067482948303223,-0.9998082065445293,-11.06383,13.131008,1.186841,False,500,500_ckpt.pt
transformer.h.1.mlp.c_proj.weight,589824,0.00018434683443047106,-1.0000004054388214,-9.567172,5.0714107,0.5300846,False,500,500_ckpt.pt
transformer.h.2.attn.c_attn.weight,442368,0.0007273517549037933,-1.0000095969803913,-5.206358,2.6803539,0.5148232,False,500,500_ckpt.pt
transformer.h.2.attn.c_proj.weight,147456,1.6629672245471738e-05,-1.000000064240513,-5.350905,2.6156094,0.48881626,False,500,500_ckpt.pt
transformer.h.2.ln_1.weight,384,0.1629340797662735,-2.718673077180654,-0.012755554,0.0051028617,0.40005016,False,500,500_ckpt.pt
transformer.h.2.ln_2.weight,384,-0.40773099660873413,0.41807048608950453,-0.054662433,0.01727912,0.31610596,False,500,500_ckpt.pt
transformer.h.2.mlp.c_fc.weight,589824,-0.01846444606781006,-0.9999391392033095,-10.922839,11.153319,1.0211008,False,500,500_ckpt.pt
transformer.h.2.mlp.c_proj.weight,589824,8.837498899083585e-05,-1.000000280171215,-5.052785,2.6379864,0.5220856,False,500,500_ckpt.pt
transformer.h.3.attn.c_attn.weight,442368,0.004576986655592918,-1.0000803672021708,-4.4490976,3.8247967,0.8596792,False,500,500_ckpt.pt
transformer.h.3.attn.c_proj.weight,147456,5.602751116384752e-07,-1.0000000030259415,-3.1722474,1.7580609,0.5542005,False,500,500_ckpt.pt
transformer.h.3.ln_1.weight,384,-0.3840491771697998,4.49259968951738,-0.012187888,0.005910724,0.48496705,False,500,500_ckpt.pt
transformer.h.3.ln_2.weight,384,-0.13583719730377197,-0.21168188672778077,-0.035350762,0.015917417,0.45027083,False,500,500_ckpt.pt
transformer.h.3.mlp.c_fc.weight,589824,-0.08806443214416504,-0.9994058180334593,-11.0795555,8.600025,0.7762067,False,500,500_ckpt.pt
transformer.h.3.mlp.c_proj.weight,589824,2.6841811632039025e-05,-1.00000008195292,-4.81929,2.5229952,0.5235201,False,500,500_ckpt.pt
transformer.h.4.attn.c_attn.weight,442368,-0.013157308101654053,-0.9996785641137516,-4.436341,4.8129025,1.0848812,False,500,500_ckpt.pt
transformer.h.4.attn.c_proj.weight,147456,1.1105098565167282e-06,-1.000000006434116,-2.6813493,1.5833055,0.5904883,False,500,500_ckpt.pt
transformer.h.4.ln_1.weight,384,0.08091367781162262,-3.150947671695434,-0.010273018,0.009858379,0.95963806,False,500,500_ckpt.pt
transformer.h.4.ln_2.weight,384,-0.12608236074447632,0.630678746067246,-0.027780212,0.030367397,1.0931305,False,500,500_ckpt.pt
transformer.h.4.mlp.c_fc.weight,589824,-0.20907384157180786,-0.9961062722839964,-10.812153,10.789878,0.9979398,False,500,500_ckpt.pt
transformer.h.4.mlp.c_proj.weight,589824,6.152238347567618e-05,-1.00000020986682,-3.0242665,1.9150614,0.6332317,False,500,500_ckpt.pt
transformer.h.5.attn.c_attn.weight,442368,0.037300627678632736,-1.0013239406853867,-9.408056,8.971311,0.95357746,False,500,500_ckpt.pt
