iter,block,attn_grad_angle_cos,grad_dim,ckpt_A,ckpt_B
250,0,0.013757818378508091,589824,250_ckpt.pt,250_ckpt.pt
250,1,0.002969919005408883,589824,250_ckpt.pt,250_ckpt.pt
250,2,0.014948613941669464,589824,250_ckpt.pt,250_ckpt.pt
250,3,-0.007082951255142689,589824,250_ckpt.pt,250_ckpt.pt
250,4,0.026979774236679077,589824,250_ckpt.pt,250_ckpt.pt
250,5,0.008092259056866169,589824,250_ckpt.pt,250_ckpt.pt
500,0,0.03085116483271122,589824,500_ckpt.pt,500_ckpt.pt
500,1,0.00416155019775033,589824,500_ckpt.pt,500_ckpt.pt
500,2,0.010707695968449116,589824,500_ckpt.pt,500_ckpt.pt
500,3,-0.006186917889863253,589824,500_ckpt.pt,500_ckpt.pt
500,4,0.03567875921726227,589824,500_ckpt.pt,500_ckpt.pt
500,5,0.0717356726527214,589824,500_ckpt.pt,500_ckpt.pt
750,0,0.030616620555520058,589824,750_ckpt.pt,750_ckpt.pt
750,1,-0.0005594678223133087,589824,750_ckpt.pt,750_ckpt.pt
750,2,0.003975882660597563,589824,750_ckpt.pt,750_ckpt.pt
750,3,-0.007883599027991295,589824,750_ckpt.pt,750_ckpt.pt
750,4,0.021343696862459183,589824,750_ckpt.pt,750_ckpt.pt
750,5,0.06789391487836838,589824,750_ckpt.pt,750_ckpt.pt
1000,0,0.04673304781317711,589824,1000_ckpt.pt,1000_ckpt.pt
1000,1,0.0010525925317779183,589824,1000_ckpt.pt,1000_ckpt.pt
1000,2,0.0005909408209845424,589824,1000_ckpt.pt,1000_ckpt.pt
1000,3,-0.0011745233787223697,589824,1000_ckpt.pt,1000_ckpt.pt
1000,4,0.00290296389721334,589824,1000_ckpt.pt,1000_ckpt.pt
1000,5,0.05428215488791466,589824,1000_ckpt.pt,1000_ckpt.pt
1250,0,0.056953974068164825,589824,1250_ckpt.pt,1250_ckpt.pt
1250,1,0.007218086160719395,589824,1250_ckpt.pt,1250_ckpt.pt
1250,2,0.01334324199706316,589824,1250_ckpt.pt,1250_ckpt.pt
1250,3,0.003008241532370448,589824,1250_ckpt.pt,1250_ckpt.pt
1250,4,0.013103757053613663,589824,1250_ckpt.pt,1250_ckpt.pt
1250,5,0.05421055108308792,589824,1250_ckpt.pt,1250_ckpt.pt
1500,0,0.05145454406738281,589824,1500_ckpt.pt,1500_ckpt.pt
1500,1,0.0033366912975907326,589824,1500_ckpt.pt,1500_ckpt.pt
1500,2,0.007727872580289841,589824,1500_ckpt.pt,1500_ckpt.pt
1500,3,-0.0037937588058412075,589824,1500_ckpt.pt,1500_ckpt.pt
1500,4,0.01420185063034296,589824,1500_ckpt.pt,1500_ckpt.pt
1500,5,0.03821569308638573,589824,1500_ckpt.pt,1500_ckpt.pt
1750,0,0.060111816972494125,589824,1750_ckpt.pt,1750_ckpt.pt
1750,1,0.0017715157009661198,589824,1750_ckpt.pt,1750_ckpt.pt
1750,2,0.005898912902921438,589824,1750_ckpt.pt,1750_ckpt.pt
1750,3,-0.010218041948974133,589824,1750_ckpt.pt,1750_ckpt.pt
1750,4,0.004830339923501015,589824,1750_ckpt.pt,1750_ckpt.pt
1750,5,0.032407328486442566,589824,1750_ckpt.pt,1750_ckpt.pt
2000,0,0.04123418405652046,589824,2000_ckpt.pt,2000_ckpt.pt
2000,1,0.007662064861506224,589824,2000_ckpt.pt,2000_ckpt.pt
2000,2,0.0062161399982869625,589824,2000_ckpt.pt,2000_ckpt.pt
2000,3,-0.008743170648813248,589824,2000_ckpt.pt,2000_ckpt.pt
2000,4,0.016474150121212006,589824,2000_ckpt.pt,2000_ckpt.pt
2000,5,0.02644180692732334,589824,2000_ckpt.pt,2000_ckpt.pt
2250,0,0.0489523783326149,589824,2250_ckpt.pt,2250_ckpt.pt
2250,1,0.0013781203888356686,589824,2250_ckpt.pt,2250_ckpt.pt
2250,2,0.004669673275202513,589824,2250_ckpt.pt,2250_ckpt.pt
2250,3,-0.004501989111304283,589824,2250_ckpt.pt,2250_ckpt.pt
2250,4,0.013102523982524872,589824,2250_ckpt.pt,2250_ckpt.pt
2250,5,0.02596578188240528,589824,2250_ckpt.pt,2250_ckpt.pt
2500,0,0.05610954016447067,589824,2500_ckpt.pt,2500_ckpt.pt
2500,1,0.00039162562461569905,589824,2500_ckpt.pt,2500_ckpt.pt
2500,2,0.008492466062307358,589824,2500_ckpt.pt,2500_ckpt.pt
2500,3,-0.003859848016873002,589824,2500_ckpt.pt,2500_ckpt.pt
2500,4,0.0030400757677853107,589824,2500_ckpt.pt,2500_ckpt.pt
2500,5,0.016057277098298073,589824,2500_ckpt.pt,2500_ckpt.pt
2750,0,0.055331166833639145,589824,2750_ckpt.pt,2750_ckpt.pt
2750,1,-0.002127581974491477,589824,2750_ckpt.pt,2750_ckpt.pt
2750,2,0.009555397555232048,589824,2750_ckpt.pt,2750_ckpt.pt
2750,3,-0.004948755260556936,589824,2750_ckpt.pt,2750_ckpt.pt
2750,4,0.010559418238699436,589824,2750_ckpt.pt,2750_ckpt.pt
2750,5,0.02733476087450981,589824,2750_ckpt.pt,2750_ckpt.pt
3000,0,0.04595627635717392,589824,3000_ckpt.pt,3000_ckpt.pt
3000,1,0.0029951485339552164,589824,3000_ckpt.pt,3000_ckpt.pt
3000,2,0.011860514990985394,589824,3000_ckpt.pt,3000_ckpt.pt
3000,3,-0.0021728985011577606,589824,3000_ckpt.pt,3000_ckpt.pt
3000,4,0.005753092467784882,589824,3000_ckpt.pt,3000_ckpt.pt
3000,5,0.025014592334628105,589824,3000_ckpt.pt,3000_ckpt.pt
3250,0,0.04901083931326866,589824,3250_ckpt.pt,3250_ckpt.pt
3250,1,0.0005130252102389932,589824,3250_ckpt.pt,3250_ckpt.pt
3250,2,0.01065708789974451,589824,3250_ckpt.pt,3250_ckpt.pt
3250,3,-0.0015288147842511535,589824,3250_ckpt.pt,3250_ckpt.pt
3250,4,0.008314525708556175,589824,3250_ckpt.pt,3250_ckpt.pt
3250,5,0.015669338405132294,589824,3250_ckpt.pt,3250_ckpt.pt
3500,0,0.05013918876647949,589824,3500_ckpt.pt,3500_ckpt.pt
3500,1,0.0010131929302588105,589824,3500_ckpt.pt,3500_ckpt.pt
3500,2,0.01435684785246849,589824,3500_ckpt.pt,3500_ckpt.pt
3500,3,-0.0031884063500910997,589824,3500_ckpt.pt,3500_ckpt.pt
3500,4,0.0017774621956050396,589824,3500_ckpt.pt,3500_ckpt.pt
3500,5,0.020668374374508858,589824,3500_ckpt.pt,3500_ckpt.pt
3750,0,0.0459420271217823,589824,3750_ckpt.pt,3750_ckpt.pt
3750,1,0.0029279806185513735,589824,3750_ckpt.pt,3750_ckpt.pt
3750,2,0.014746109955012798,589824,3750_ckpt.pt,3750_ckpt.pt
3750,3,0.0024760665837675333,589824,3750_ckpt.pt,3750_ckpt.pt
3750,4,0.003244629828259349,589824,3750_ckpt.pt,3750_ckpt.pt
3750,5,0.019324718043208122,589824,3750_ckpt.pt,3750_ckpt.pt
4000,0,0.04939821735024452,589824,4000_ckpt.pt,4000_ckpt.pt
4000,1,0.0025340700522065163,589824,4000_ckpt.pt,4000_ckpt.pt
4000,2,0.015310539864003658,589824,4000_ckpt.pt,4000_ckpt.pt
4000,3,-0.004461465869098902,589824,4000_ckpt.pt,4000_ckpt.pt
4000,4,0.0061782049015164375,589824,4000_ckpt.pt,4000_ckpt.pt
4000,5,0.01664913259446621,589824,4000_ckpt.pt,4000_ckpt.pt
4250,0,0.050057731568813324,589824,4250_ckpt.pt,4250_ckpt.pt
4250,1,-0.002259299624711275,589824,4250_ckpt.pt,4250_ckpt.pt
4250,2,0.013318362645804882,589824,4250_ckpt.pt,4250_ckpt.pt
4250,3,-0.0020824687089771032,589824,4250_ckpt.pt,4250_ckpt.pt
4250,4,0.00882850680500269,589824,4250_ckpt.pt,4250_ckpt.pt
4250,5,0.016648072749376297,589824,4250_ckpt.pt,4250_ckpt.pt
4500,0,0.04877452924847603,589824,4500_ckpt.pt,4500_ckpt.pt
4500,1,-0.0003752814373001456,589824,4500_ckpt.pt,4500_ckpt.pt
4500,2,0.013947444967925549,589824,4500_ckpt.pt,4500_ckpt.pt
4500,3,0.007501237094402313,589824,4500_ckpt.pt,4500_ckpt.pt
4500,4,0.005313086323440075,589824,4500_ckpt.pt,4500_ckpt.pt
4500,5,0.0180846955627203,589824,4500_ckpt.pt,4500_ckpt.pt
4750,0,0.050640713423490524,589824,4750_ckpt.pt,4750_ckpt.pt
4750,1,-0.006183271296322346,589824,4750_ckpt.pt,4750_ckpt.pt
4750,2,0.012778891250491142,589824,4750_ckpt.pt,4750_ckpt.pt
4750,3,0.000520556524861604,589824,4750_ckpt.pt,4750_ckpt.pt
4750,4,0.004022244829684496,589824,4750_ckpt.pt,4750_ckpt.pt
4750,5,0.01486160233616829,589824,4750_ckpt.pt,4750_ckpt.pt
5000,0,0.04934123903512955,589824,5000_ckpt.pt,5000_ckpt.pt
5000,1,-0.002276554936543107,589824,5000_ckpt.pt,5000_ckpt.pt
5000,2,0.012947618961334229,589824,5000_ckpt.pt,5000_ckpt.pt
5000,3,-0.002346452558413148,589824,5000_ckpt.pt,5000_ckpt.pt
5000,4,-0.0004015994200017303,589824,5000_ckpt.pt,5000_ckpt.pt
5000,5,0.013700849376618862,589824,5000_ckpt.pt,5000_ckpt.pt
